budget,genres,popularity,revenue,runtime,title,vote_average,cast
200000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",107.928811,586090727,106.0,Quantum of Solace,6.1,"['Daniel Craig', 'Olga Kurylenko', 'Mathieu Amalric']"
200000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}]",145.847379,1065659812,151.0,Pirates of the Caribbean: Dead Man's Chest,7.0,"['Johnny Depp', 'Orlando Bloom', 'Keira Knightley']"
255000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 37, ""name"": ""Western""}]",49.046956,89289910,149.0,The Lone Ranger,5.9,"['Johnny Depp', 'Armie Hammer', 'William Fichtner']"
225000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]",99.398009,662845518,143.0,Man of Steel,6.5,"['Henry Cavill', 'Amy Adams', 'Michael Shannon']"
225000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]",53.978602,419651413,150.0,The Chronicles of Narnia: Prince Caspian,6.3,"['Ben Barnes', 'William Moseley', 'Anna Popplewell']"
220000000,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",144.448633,1519557910,143.0,The Avengers,7.4,"['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo']"
380000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 14, ""name"": ""Fantasy""}]",135.413856,1045713802,136.0,Pirates of the Caribbean: On Stranger Tides,6.4,"['Johnny Depp', 'Penélope Cruz', 'Ian McShane']"
225000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 878, ""name"": ""Science Fiction""}]",52.035179,624026776,106.0,Men in Black 3,6.2,"['Will Smith', 'Tommy Lee Jones', 'Josh Brolin']"
250000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",120.965743,956019788,144.0,The Hobbit: The Battle of the Five Armies,7.1,"['Martin Freeman', 'Ian McKellen', 'Richard Armitage']"
215000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",89.866276,752215857,136.0,The Amazing Spider-Man,6.5,"['Andrew Garfield', 'Emma Stone', 'Rhys Ifans']"
200000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",37.668301,310669540,140.0,Robin Hood,6.2,"['Russell Crowe', 'Cate Blanchett', 'Max von Sydow']"
250000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",94.370564,958400000,161.0,The Hobbit: The Desolation of Smaug,7.6,"['Martin Freeman', 'Ian McKellen', 'Richard Armitage']"
180000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",42.990906,372234864,113.0,The Golden Compass,5.8,"['Dakota Blue Richards', 'Nicole Kidman', 'Daniel Craig']"
207000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}]",61.22601,550000000,187.0,King Kong,6.6,"['Naomi Watts', 'Jack Black', 'Adrien Brody']"
200000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 53, ""name"": ""Thriller""}]",100.025899,1845034188,194.0,Titanic,7.5,"['Kate Winslet', 'Leonardo DiCaprio', 'Frances Fisher']"
250000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",198.372395,1153304495,147.0,Captain America: Civil War,7.1,"['Chris Evans', 'Robert Downey Jr.', 'Scarlett Johansson']"
209000000,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",64.928382,303025485,131.0,Battleship,5.5,"['Taylor Kitsch', 'Alexander Skarsgård', 'Rihanna']"
150000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",418.708552,1513528810,124.0,Jurassic World,6.5,"['Chris Pratt', 'Bryce Dallas Howard', 'Irrfan Khan']"
200000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 53, ""name"": ""Thriller""}]",93.004993,1108561013,143.0,Skyfall,6.9,"['Daniel Craig', 'Judi Dench', 'Javier Bardem']"
200000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",35.149586,783766341,127.0,Spider-Man 2,6.7,"['Tobey Maguire', 'Kirsten Dunst', 'James Franco']"
200000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",77.68208,1215439994,130.0,Iron Man 3,6.8,"['Robert Downey Jr.', 'Gwyneth Paltrow', 'Don Cheadle']"
200000000,"[{""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 12, ""name"": ""Adventure""}]",78.530105,1025491110,108.0,Alice in Wonderland,6.4,"['Mia Wasikowska', 'Johnny Depp', 'Anne Hathaway']"
210000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",3.857526,459359555,104.0,X-Men: The Last Stand,6.3,"['Hugh Jackman', 'Halle Berry', 'Ian McKellen']"
200000000,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",89.186492,743559607,104.0,Monsters University,7.0,"['Billy Crystal', 'John Goodman', 'Steve Buscemi']"
150000000,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",21.939663,836297228,150.0,Transformers: Revenge of the Fallen,6.0,"['Shia LaBeouf', 'Megan Fox', 'Josh Duhamel']"
210000000,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",116.840296,1091405097,165.0,Transformers: Age of Extinction,5.8,"['Mark Wahlberg', 'Stanley Tucci', 'Kelsey Grammer']"
200000000,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}]",46.985445,491868548,130.0,Oz: The Great and Powerful,5.7,"['James Franco', 'Mila Kunis', 'Rachel Weisz']"
200000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",89.270217,705717432,142.0,The Amazing Spider-Man 2,6.5,"['Andrew Garfield', 'Emma Stone', 'Jamie Foxx']"
170000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",73.79505,400062763,125.0,TRON: Legacy,6.3,"['Garrett Hedlund', 'Jeff Bridges', 'Olivia Wilde']"
200000000,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}]",49.98659,559852396,106.0,Cars 2,5.8,"['Owen Wilson', 'Larry the Cable Guy', 'Michael Caine']"
200000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}]",51.872839,219851172,114.0,Green Lantern,5.1,"['Ryan Reynolds', 'Blake Lively', 'Peter Sarsgaard']"
200000000,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 35, ""name"": ""Comedy""}]",59.995418,1066969703,103.0,Toy Story 3,7.6,"['Tom Hanks', 'Tim Allen', 'Ned Beatty']"
200000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",71.862892,371353001,115.0,Terminator Salvation,5.9,"['Christian Bale', 'Sam Worthington', 'Anton Yelchin']"
190000000,"[{""id"": 28, ""name"": ""Action""}]",102.322217,1506249360,137.0,Furious 7,7.3,"['Vin Diesel', 'Paul Walker', 'Dwayne Johnson']"
200000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",81.834855,531865000,116.0,World War Z,6.7,"['Brad Pitt', 'Mireille Enos', 'Abigail Hargrove']"
250000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]",118.078691,747862775,131.0,X-Men: Days of Future Past,7.5,"['Hugh Jackman', 'James McAvoy', 'Michael Fassbender']"
190000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",78.291018,467365246,132.0,Star Trek Into Darkness,7.4,"['Chris Pine', 'Zachary Quinto', 'Zoe Saldana']"
195000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]",43.349855,197687603,114.0,Jack the Giant Slayer,5.5,"['Nicholas Hoult', 'Eleanor Tomlinson', 'Ewan McGregor']"
105000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",61.196071,351040419,143.0,The Great Gatsby,7.3,"['Leonardo DiCaprio', 'Tobey Maguire', 'Carey Mulligan']"
150000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 10749, ""name"": ""Romance""}]",62.169881,335154643,116.0,Prince of Persia: The Sands of Time,6.2,"['Jake Gyllenhaal', 'Gemma Arterton', 'Ben Kingsley']"
180000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 12, ""name"": ""Adventure""}]",56.523205,407602906,131.0,Pacific Rim,6.7,"['Idris Elba', 'Charlie Hunnam', 'Charlie Day']"
195000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 12, ""name"": ""Adventure""}]",28.529607,1123746996,154.0,Transformers: Dark of the Moon,6.1,"['Shia LaBeouf', 'John Malkovich', 'Ken Jeong']"
185000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}]",75.674458,786636033,122.0,Indiana Jones and the Kingdom of the Crystal Skull,5.7,"['Harrison Ford', 'Cate Blanchett', 'Shia LaBeouf']"
175000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",51.692953,331926147,93.0,The Good Dinosaur,6.6,"['Raymond Ochoa', 'Jack Bright', 'Jeffrey Wright']"
185000000,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 28, ""name"": ""Action""}, {""id"": 14, ""name"": ""Fantasy""}]",125.114374,538983207,93.0,Brave,6.7,"['Kelly Macdonald', 'Julie Walters', 'Billy Connolly']"
185000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",65.352913,343471816,122.0,Star Trek Beyond,6.6,"['Chris Pine', 'Zachary Quinto', 'Karl Urban']"
180000000,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",66.390712,521311860,98.0,WALL·E,7.8,"['Ben Burtt', 'Elissa Knight', 'Jeff Garlin']"
140000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]",22.57178,258022233,91.0,Rush Hour 3,6.1,"['Chris Tucker', 'Jackie Chan', 'Hiroyuki Sanada']"
200000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",45.274225,769653595,158.0,2012,5.6,"['John Cusack', 'Amanda Peet', 'Chiwetel Ejiofor']"
200000000,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 18, ""name"": ""Drama""}]",39.744242,325233863,96.0,A Christmas Carol,6.6,"['Gary Oldman', 'Jim Carrey', 'Steve Valentine']"
176000003,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",85.36908,183987723,124.0,Jupiter Ascending,5.2,"['Mila Kunis', 'Channing Tatum', 'Sean Bean']"
180000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",42.741719,356743061,109.0,The Legend of Tarzan,5.5,"['Alexander Skarsgård', 'Margot Robbie', 'Christoph Waltz']"
180000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]",67.391328,748806957,143.0,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.7,"['William Moseley', 'Anna Popplewell', 'Skandar Keynes']"
178000000,"[{""id"": 878, ""name"": ""Science Fiction""}]",139.272042,543934787,144.0,X-Men: Apocalypse,6.4,"['James McAvoy', 'Michael Fassbender', 'Jennifer Lawrence']"
185000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]",187.322927,1004558444,152.0,The Dark Knight,8.2,"['Christian Bale', 'Heath Ledger', 'Aaron Eckhart']"
175000000,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 12, ""name"": ""Adventure""}]",92.201962,735099082,96.0,Up,7.7,"['Ed Asner', 'Christopher Plummer', 'Jordan Nagai']"
175000000,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",36.167578,381509870,94.0,Monsters vs Aliens,6.0,"['Seth Rogen', 'Reese Witherspoon', 'Hugh Laurie']"
140000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 12, ""name"": ""Adventure""}]",120.725053,585174222,126.0,Iron Man,7.4,"['Robert Downey Jr.', 'Terrence Howard', 'Jeff Bridges']"
170000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10751, ""name"": ""Family""}]",32.319043,185770160,126.0,Hugo,7.0,"['Ben Kingsley', 'Sacha Baron Cohen', 'Asa Butterfield']"
170000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 37, ""name"": ""Western""}]",40.748915,222104681,106.0,Wild Wild West,5.1,"['Will Smith', 'Kevin Kline', 'Kenneth Branagh']"
145000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 14, ""name"": ""Fantasy""}]",60.034162,401128639,112.0,The Mummy: Tomb of the Dragon Emperor,5.2,"['Brendan Fraser', 'Jet Li', 'John Hannah']"
175000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]",90.23792,745000000,123.0,Suicide Squad,5.9,"['Will Smith', 'Margot Robbie', 'Joel Kinnaman']"
175000000,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",27.082182,173000000,96.0,Evan Almighty,5.3,"['Steve Carell', 'Lauren Graham', 'John Goodman']"
178000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",79.456485,370541256,113.0,Edge of Tomorrow,7.6,"['Tom Cruise', 'Emily Blunt', 'Brendan Gleeson']"
175000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}]",44.640292,264218220,135.0,Waterworld,5.9,"['Kevin Costner', 'Chaim Girafi', 'Rick Aviles']"
175000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}]",32.852443,302469017,118.0,G.I. Joe: The Rise of Cobra,5.6,"['Dennis Quaid', 'Channing Tatum', 'Marlon Wayans']"
175000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",128.655964,857611174,94.0,Inside Out,8.0,"['Amy Poehler', 'Phyllis Smith', 'Richard Kind']"
175000000,"[{""id"": 10751, ""name"": ""Family""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 14, ""name"": ""Fantasy""}]",94.199316,966550600,106.0,The Jungle Book,6.7,"['Neel Sethi', 'Bill Murray', 'Ben Kingsley']"
200000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",77.300194,623933331,124.0,Iron Man 2,6.6,"['Robert Downey Jr.', 'Gwyneth Paltrow', 'Don Cheadle']"
170000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 18, ""name"": ""Drama""}]",77.178973,396600000,127.0,Snow White and the Huntsman,5.8,"['Kristen Stewart', 'Charlize Theron', 'Chris Hemsworth']"
180000000,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 10749, ""name"": ""Romance""}]",110.620647,758539785,97.0,Maleficent,7.0,"['Angelina Jolie', 'Elle Fanning', 'Sharlto Copley']"
170000000,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",243.791743,710644566,130.0,Dawn of the Planet of the Apes,7.3,"['Andy Serkis', 'Jason Clarke', 'Gary Oldman']"
27000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 10749, ""name"": ""Romance""}]",2.418535,0,109.0,The Lovers,4.8,"['Josh Hartnett', 'Simone Kessell', 'Tamsin Egerton']"
175000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",41.796339,150962475,119.0,47 Ronin,5.9,"['Keanu Reeves', 'Hiroyuki Sanada', 'Kou Shibasaki']"
170000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",72.225265,714766572,136.0,Captain America: The Winter Soldier,7.6,"['Chris Evans', 'Samuel L. Jackson', 'Scarlett Johansson']"
165000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",44.041186,752600867,93.0,Shrek Forever After,6.0,"['Mike Myers', 'Eddie Murphy', 'Cameron Diaz']"
190000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 878, ""name"": ""Science Fiction""}]",130.311355,209154322,130.0,Tomorrowland,6.2,"['Britt Robertson', 'George Clooney', 'Raffey Cassidy']"
165000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}]",203.73459,652105443,102.0,Big Hero 6,7.8,"['Scott Adsit', 'Ryan Potter', 'Daniel Henney']"
165000000,"[{""id"": 10751, ""name"": ""Family""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 12, ""name"": ""Adventure""}]",62.341073,471222889,108.0,Wreck-It Ralph,7.1,"['John C. Reilly', 'Sarah Silverman', 'Jack McBrayer']"
165000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]",47.323228,305875730,100.0,The Polar Express,6.4,"['Tom Hanks', 'Michael Jeter', 'Nona Gaye']"
165000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",48.775723,389681935,120.0,Independence Day: Resurgence,4.9,"['Liam Hemsworth', 'Jeff Goldblum', 'Bill Pullman']"
165000000,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",67.263269,494878759,98.0,How to Train Your Dragon,7.5,"['Jay Baruchel', 'Gerard Butler', 'Craig Ferguson']"
200000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}]",69.405188,435000000,109.0,Terminator 3: Rise of the Machines,5.9,"['Arnold Schwarzenegger', 'Nick Stahl', 'Claire Danes']"
170000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 12, ""name"": ""Adventure""}]",481.098624,773328629,121.0,Guardians of the Galaxy,7.9,"['Chris Pratt', 'Zoe Saldana', 'Dave Bautista']"
165000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 878, ""name"": ""Science Fiction""}]",724.247784,675120017,169.0,Interstellar,8.1,"['Matthew McConaughey', 'Jessica Chastain', 'Anne Hathaway']"
160000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 12, ""name"": ""Adventure""}]",167.58371,825532764,148.0,Inception,8.1,"['Leonardo DiCaprio', 'Joseph Gordon-Levitt', 'Ellen Page']"
15000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 878, ""name"": ""Science Fiction""}]",9.476999,77000000,120.0,Shin Godzilla,6.5,"['Hiroki Hasegawa', 'Yutaka Takenouchi', 'Satomi Ishihara']"
250000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}]",108.849621,1021103568,169.0,The Hobbit: An Unexpected Journey,7.0,"['Ian McKellen', 'Martin Freeman', 'Richard Armitage']"
